Year,Population
1961,205000
1962,210000
1963,216000
1964,223000
1965,230000
1966,239000
1967,248000
1968,256000
1969,263000
1970,269000
1971,271000
1972,272000
1973,271000
1974,270000
1975,270000
1976,271000
1977,273000
1978,276000
1979,280000
1980,284000
1981,289000
1982,294000
1983,300000
1984,306000
1985,312000
1986,317000
1987,321000
1988,326000
1989,331000
1990,338000
1991,346000
1992,356000
1993,366000
1994,376000
1995,386000
1996,396000
1997,404000
1998,413000
1999,420000
2000,428000
2001,436000
2002,443000
2003,450000
2004,457000
2005,463000
2006,469000
2007,475000
2008,481000
2009,487000
2010,493000
2011,499000
2012,505000
2013,512000
2014,518000
2015,552000
2016,558000
2017,565000
2018,571000
2019,577000
2020,583000
2021,588000
2022,593000
