 Name, Age, Movie, Year
 Emil Jannings,44, The Last Command, 1928
 Warner Baxter,41, In Old Arizona, 1929
 George Arliss,62, Disraeli, 1930
 Lionel Barrymore,53, A Free Soul, 1931
 Wallace Beery,47, The Champ, 1932
 Fredric March,35, Dr. Jekyll and Mr. Hyde, 1933
 Charles Laughton,34, The Private Life of Henry VIII, 1934
 Clark Gable,34, It Happened One Night, 1935
 Victor McLaglen,49, The Informer	, 1936
 Paul Muni,41, The Story of Louis Pasteur	, 1937
 Spencer Tracy,37, Captains Courageous, 1938
 Spencer Tracy,38, Boys Town, 1939
 Robert Donat,34, Goodbye, 1940
 James Stewart,32, The Philadelphia Story, 1941
 Gary Cooper,40, Sergeant York, 1942
 James Cagney,43, Yankee Doodle Dandy	, 1943
 Paul Lukas,48, Watch on the Rhine	, 1944
 Bing Crosby,41, Going My Way, 1945
 Ray Milland,39, The Lost Weekend 	, 1946
 Fredric March,49, The Best Years of Our Lives, 1947
 Ronald Colman,57, A Double Life, 1948
 Laurence Olivier,41, Hamlet, 1949
 Broderick Crawford,38, All the King's Men, 1950
 José Ferrer,39, Cyrano de Bergerac, 1951
 Humphrey Bogart,52, The African Queen, 1952
 Gary Cooper,51, High Noon, 1953
 William Holden,35, Stalag 17, 1954
 Marlon Brando,30, On the Waterfront, 1955
 Ernest Borgnine,39, Marty, 1956
 Yul Brynner,36, The King and I, 1957
 Alec Guinness,43, The Bridge on the River Kwai, 1958
 David Niven,49, Separate Tables, 1959
 Charlton Heston,36, Ben-Hur, 1960
 Burt Lancaster,47, Elmer Gantry, 1961
 Maximilian Schell,31, Judgment at Nuremberg	, 1962
 Gregory Peck,47, To Kill a Mockingbird, 1963
 Sidney Poitier,37, Lilies of the Field, 1964
 Rex Harrison,57, My Fair Lady, 1965
 Lee Marvin,42, Cat Ballou	, 1966
 Paul Scofield,45, A Man for All Seasons, 1967
 Rod Steiger,42, In the Heat of the Night	, 1968
 Cliff Robertson,45, Charly, 1969
 John Wayne,62, True Grit, 1970
 George C. Scott,43, Patton, 1971
 Gene Hackman,42, The French Connection, 1972
 Marlon Brando,48, The Godfather, 1973
 Jack Lemmon,49, Save the Tiger, 1974
 Art Carney,56, Harry and Tonto, 1975
 Jack Nicholson,38, One Flew Over the Cuckoo's Nest, 1976
 Peter Finch,60, Network, 1977
 Richard Dreyfuss,30, The Goodbye Girl, 1978
 Jon Voight,40, Coming Home, 1979
 Dustin Hoffman,42, Kramer vs. Kramer, 1980
 Robert De Niro,37, Raging Bull, 1981
 Henry Fonda,76, On Golden Pond, 1982
 Ben Kingsley,39, Gandhi, 1983
 Robert Duvall,53, Tender Mercies, 1984
 F. Murray Abraham,45, Amadeus, 1985
 William Hurt,36, Kiss of the Spider Woman, 1986
 Paul Newman,62, The Color of Money, 1987
 Michael Douglas,43, Wall Street, 1988
 Dustin Hoffman,51, Rain Man, 1989
 Daniel Day-Lewis,32, My Left Foot, 1990
 Jeremy Irons,42, Reversal of Fortune, 1991
 Anthony Hopkins,54, The Silence of the Lambs, 1992
 Al Pacino,52, Scent of a Woman, 1993
 Tom Hanks,37, Philadelphia, 1994
 Tom Hanks,38, Forrest Gump, 1995
 Nicolas Cage,32, Leaving Las Vegas, 1996
 Geoffrey Rush,45, Shine, 1997
 Jack Nicholson,60, As Good as It Gets, 1998
 Roberto Benigni,46, Life Is Beautiful, 1999
 Kevin Spacey,40, American Beauty, 2000
 Russell Crowe,36, Gladiator, 2001
 Denzel Washington,47, Training Day	, 2002
 Adrien Brody,29, The Pianist, 2003
 Sean Penn,43, Mystic River, 2004
 Jamie Foxx,37, Ray, 2005
 Philip Seymour Hoffman,38, Capote, 2006
 Forest Whitaker,45, The Last King of Scotland	, 2007
 Daniel Day-Lewis,50, There Will Be Blood, 2008
 Sean Penn,48, Milk, 2009
 Jeff Bridges,60, Crazy Heart, 2010
 Colin Firth,50, The King's Speech	, 2011
 Jean Dujardin,39, The Artist, 2012
 Daniel Day-Lewis,55, Lincoln, 2013
 Matthew McConaughey,44, Dallas Buyers Club, 2014
 Eddie Redmayne,33, The Theory of Everything	, 2015
 Leonardo DiCaprio,41, The Revenant, 2016
